Term,Role,Attribute,Freq,numdocs,_keep,Key,Parent,Parent_id,_ispar,Weight
基づく,,Alpha,3,2,Y,58,58,58,.,0.7368624046
頑張る,,Alpha,1,1,Y,59,,59,+,1
コンディション,,Alpha,1,1,Y,60,,60,,1
卸,,Alpha,2,1,Y,61,,61,,1
会場,,Alpha,2,2,Y,62,,62,,0.8245749364
規則,,Alpha,1,1,Y,63,,63,,1
道中,,Alpha,1,1,Y,64,,64,,1
東京都,,Alpha,1,1,Y,65,,65,,1
単位,,Alpha,6,1,Y,66,,66,,1
色々,,Alpha,1,1,Y,67,,67,,1
バーベキュー,,Alpha,1,1,Y,68,,68,,1
機,,Alpha,2,2,Y,69,,69,,0.8245749364
私,,Alpha,9,7,Y,70,,70,,0.5365964209
重要な水,nlpNounGroup,Alpha,1,1,Y,71,,71,,1
km2,,Mixed,1,1,Y,72,,72,,1
強かった,,Alpha,1,1,Y,3830,2999,2999,.,1
トップブランド,,Alpha,1,1,Y,73,,73,,1
大物歌手,nlpNounGroup,Alpha,1,1,Y,74,,74,,1
下車,,Alpha,1,1,Y,75,,75,,1
練炭,,Alpha,1,1,Y,76,,76,,1
練習,,Alpha,4,2,Y,77,,77,,0.8576814834
討幕運動,nlpNounGroup,Alpha,1,1,Y,78,,78,,1
包ま,,Alpha,1,1,Y,3831,3797,3797,.,1
火元,,Alpha,1,1,Y,79,,79,,1
植物園,,Alpha,1,1,Y,80,,80,,1
北区,,Alpha,3,2,Y,81,,81,,0.8389078949
漫画,,Alpha,4,1,Y,82,,82,,1
買う,,Alpha,6,3,Y,83,,83,+,0.7440288839
買う,,Alpha,2,2,Y,83,83,83,.,0.7440288839
べきだ,,Alpha,1,1,Y,84,,84,+,1
スポーツ部,,Alpha,1,1,Y,85,,85,,1
サプライズ満載,nlpNounGroup,Alpha,1,1,Y,86,,86,,1
頭,,Alpha,4,3,Y,87,,87,,0.7368624046
日々,,Alpha,1,1,Y,88,,88,,1
慰労金,,Alpha,1,1,Y,89,,89,,1
食べた,,Alpha,1,1,Y,3832,143,143,.,1
原,,Alpha,1,1,Y,90,,90,,1
持,,Alpha,1,1,Y,91,,91,,1
元禄時代,nlpNounGroup,Alpha,1,1,Y,92,,92,,1
良食味品種,nlpNounGroup,Alpha,1,1,Y,93,,93,,1
本の,,Alpha,3,2,Y,94,,94,,0.8389078949
阿蘇,,Alpha,19,1,Y,95,,95,,1
検討さ,,Alpha,1,1,Y,3833,2162,2162,.,1
産山村,,Alpha,2,1,Y,96,,96,,1
標語,,Alpha,1,1,Y,97,,97,,1
軽い,,Alpha,1,1,Y,98,,98,+,1
千葉県,,Alpha,1,1,Y,99,,99,,1
西賀茂,,Alpha,1,1,Y,100,,100,,1
首都圏,,Alpha,1,1,Y,101,,101,,1
笑顔,,Alpha,2,1,Y,102,,102,,1
拡大する,,Alpha,1,1,Y,103,,103,+,1
版,,Alpha,2,2,Y,104,,104,,0.8245749364
秋,,Alpha,10,5,Y,105,,105,,0.6893308794
両替,,Alpha,3,2,Y,106,,106,,0.8389078949
本人,,Alpha,1,1,Y,107,,107,,1
諸葛,,Alpha,2,1,Y,108,,108,,1
思える,,Alpha,1,1,Y,109,,109,,1
[フリー,nlpNounGroup,Alpha,1,1,Y,110,,110,,1
ドル,,Alpha,4,2,Y,111,,111,,0.8576814834
産山,,Alpha,1,1,Y,112,,112,,1
やすい,,Alpha,2,2,Y,113,,113,+,0.8245749364
やすい,,Alpha,1,1,Y,113,113,113,.,0.8245749364
-13,,Num,1,1,Y,114,,114,,1
オレ,,Alpha,1,1,Y,115,,115,,1
到底,,Alpha,1,1,Y,116,,116,,1
じっくり,,Alpha,1,1,Y,117,,117,,1
黒川温泉,,Alpha,1,1,Y,118,,118,,1
home's総,nlpNounGroup,Alpha,1,1,Y,119,,119,,1
空き部屋,nlpNounGroup,Alpha,1,1,Y,120,,120,,1
-14,,Num,1,1,Y,121,,121,,1
規制,,Alpha,6,3,Y,122,,122,,0.7804328737
楽しんで,,Alpha,1,1,Y,3834,3015,3015,.,1
選挙管理委員会,,Alpha,1,1,Y,123,,123,,1
健康福祉部,nlpNounGroup,Alpha,1,1,Y,124,,124,,1
!,,Punct,3,3,Y,125,,125,,0.7219578525
企画,,Alpha,1,1,Y,126,,126,,1
透明,,Alpha,2,1,Y,127,,127,,1
店頭価格,nlpNounGroup,Alpha,1,1,Y,128,,128,,1
赴任手当,nlpNounGroup,Alpha,1,1,Y,129,,129,,1
ゆう,,Alpha,2,2,Y,130,,130,+,0.8245749364
ゆう,,Alpha,1,1,Y,130,130,130,.,0.8245749364
幸せ,,Alpha,3,1,Y,131,,131,,1
駆除,,Alpha,1,1,Y,132,,132,,1
支払い,,Alpha,1,1,Y,133,,133,,1
確実だ,,Alpha,1,1,Y,134,,134,+,1
#,,Punct,1,1,Y,135,,135,,1
関して,,Alpha,3,3,Y,3835,2416,2416,.,0.7219578525
金利,,Alpha,1,1,Y,136,,136,,1
支払う,,Alpha,1,1,Y,137,,137,,1
紹介 季節,nlpNounGroup,Alpha,1,1,Y,138,,138,,1
%,,Punct,4,1,Y,139,,139,,1
秒,,Alpha,4,1,Y,140,,140,,1
女優,,Alpha,1,1,Y,141,,141,,1
理科,,Alpha,5,1,Y,142,,142,,1
食べる,,Alpha,7,5,Y,143,,143,+,0.6077624778
食べる,,Alpha,2,2,Y,143,143,143,.,0.6077624778
難民受け入れ,nlpNounGroup,Alpha,2,1,Y,144,,144,,1
本日,,Alpha,4,3,Y,145,,145,,0.7368624046
軽く,,Alpha,1,1,Y,3836,98,98,.,1
両替し,,Alpha,1,1,Y,3837,3133,3133,.,1
物知り,,Alpha,1,1,Y,146,,146,,1
提訴して,,Alpha,1,1,Y,3838,1695,1695,.,1
類推して,,Alpha,1,1,Y,3839,1696,1696,.,1
原則,,Alpha,1,1,Y,147,,147,,1
天才,,Alpha,1,1,Y,148,,148,,1
案内,,Alpha,1,1,Y,149,,149,,1
福久,,Alpha,1,1,Y,150,,150,,1
趙雲,,Alpha,2,1,Y,151,,151,,1
チョコレートファウンテン,,Alpha,1,1,Y,152,,152,,1
(,,Punct,80,14,Y,153,,153,,0.4516260909
上京し,,Alpha,1,1,Y,3840,2894,2894,.,1
住民基本台帳人口,nlpNounGroup,Alpha,1,1,Y,154,,154,,1
),,Punct,78,14,Y,155,,155,,0.456742942
-9457,,Num,1,1,Y,156,,156,,1
でき,,Alpha,8,8,Y,3841,414,414,.,0.4737248093
仁央,,Alpha,1,1,Y,157,,157,,1
国道,,Alpha,1,1,Y,158,,158,,1
やすく,,Alpha,1,1,Y,3842,113,113,.,1
お問い合わせ,nlpNounGroup,Alpha,1,1,Y,159,,159,,1
*,,Punct,6,1,Y,160,,160,,1
会長,,Alpha,1,1,Y,161,,161,,1
水曜,,Alpha,1,1,Y,162,,162,,1
示して,,Alpha,1,1,Y,3843,2747,2747,.,1
クロール,,Alpha,1,1,Y,163,,163,,1
晴れ 風,nlpNounGroup,Alpha,1,1,Y,164,,164,,1
放送時間,nlpNounGroup,Alpha,1,1,Y,165,,165,,1
+,,Punct,6,1,Y,166,,166,,1
類,,Alpha,1,1,Y,167,,167,,1
ススメる,,Alpha,1,1,Y,168,,168,+,1
品目中,nlpNounGroup,Alpha,1,1,Y,169,,169,,1
製,,Alpha,1,1,Y,170,,170,,1
野生,,Alpha,1,1,Y,171,,171,,1
-,,Punct,6,1,Y,172,,172,,1
ｃｍ,,Alpha,1,1,Y,173,,173,,1
宮崎市,,Alpha,1,1,Y,174,,174,,1
ｄｖｄ,,Alpha,1,1,Y,175,,175,,1
カ店,nlpNounGroup,Alpha,1,1,Y,176,,176,,1
土整備部,nlpNounGroup,Alpha,1,1,Y,177,,177,,1
ファクス番号,nlpNounGroup,Alpha,2,1,Y,178,,178,,1
http://map.japanpost.jp/pc/searchdetail.php,,Mixed,1,1,Y,179,,179,,1
マンション耐震データ偽造問題,nlpNounGroup,Alpha,1,1,Y,180,,180,,1
/,,Punct,17,5,Y,181,,181,,0.6546101753
営業,,Alpha,1,1,Y,182,,182,,1
時代,,Alpha,3,2,Y,183,,183,,0.8389078949
holiday,,Alpha,1,1,Y,184,,184,,1
字,,Alpha,2,1,Y,185,,185,,1
局長,,Alpha,1,1,Y,186,,186,,1
求刑,,Alpha,1,1,Y,187,,187,,1
ゲスト,,Alpha,1,1,Y,188,,188,,1
冠して,,Alpha,1,1,Y,3844,950,950,.,1
年少だ,,Alpha,1,1,Y,189,,189,+,1
請求した,,Alpha,1,1,Y,3845,1783,1783,.,1
申立,,Alpha,1,1,Y,190,,190,,1
あたって,,Alpha,1,1,Y,3846,3717,3717,.,1
居住する,,Alpha,1,1,Y,191,,191,+,1
管区気象台,,Alpha,1,1,Y,192,,192,,1
確か,,Alpha,1,1,Y,193,,193,,1
ガイド,,Alpha,1,1,Y,194,,194,,1
タレ,,Alpha,1,1,Y,195,,195,,1
嫁ぐ,,Alpha,1,1,Y,196,,196,+,1
昨年,,Alpha,2,2,Y,197,,197,,0.8245749364
考えて,,Alpha,4,3,Y,3847,220,220,.,0.7368624046
バレンタイン,,Alpha,1,1,Y,198,,198,,1
折りたたんだ,,Alpha,1,1,Y,3848,632,632,.,1
不明,,Alpha,2,1,Y,199,,199,,1
信州,,Alpha,2,1,Y,200,,200,,1
室内,,Alpha,1,1,Y,201,,201,,1
沿岸部,,Alpha,1,1,Y,202,,202,,1
交換する,,Alpha,1,1,Y,203,,203,,1
yahoo!路線,nlpNounGroup,Alpha,1,1,Y,204,,204,,1
学長,,Alpha,6,1,Y,205,,205,,1
曹操,,Alpha,4,1,Y,206,,206,,1
機械,,Alpha,1,1,Y,207,,207,,1
開催さ,,Alpha,2,1,Y,3849,1675,1675,.,1
雨漏り,,Alpha,1,1,Y,208,,208,,1
いただいた,,Alpha,1,1,Y,3850,1082,1082,.,1
ssn,,Alpha,1,1,Y,209,,209,,1
です,,Alpha,76,27,Y,3851,1576,1576,.,0.2614707948
巨大胚芽米,nlpNounGroup,Alpha,1,1,Y,210,,210,,1
クイズ,,Alpha,2,2,Y,211,,211,,0.8245749364
逃亡する,,Alpha,1,1,Y,212,,212,+,1
地域ブランド名称,nlpNounGroup,Alpha,1,1,Y,213,,213,,1
部,,Alpha,11,3,Y,214,,214,,0.7481998825
政治,,Alpha,2,1,Y,215,,215,,1
超える,,Alpha,1,1,Y,216,,216,,1
アピール,,Alpha,1,1,Y,217,,217,,1
/情報,nlpNounGroup,Alpha,1,1,Y,218,,218,,1
副え,,Alpha,1,1,Y,3852,3022,3022,.,1
展開,,Alpha,1,1,Y,219,,219,,1
考える,,Alpha,9,6,Y,220,,220,+,0.5755797684
ひさしい,,Alpha,1,1,Y,221,,221,+,1
みなさん,,Alpha,1,1,Y,222,,222,,1
:,,Punct,15,8,Y,223,,223,,0.5428003702
櫃,,Alpha,1,1,Y,224,,224,,1
マン,,Alpha,1,1,Y,225,,225,,1
南小国町,,Alpha,1,1,Y,226,,226,,1
往来する,,Alpha,1,1,Y,227,,227,,1
コンサート,,Alpha,1,1,Y,228,,228,,1
ダウンロード,,Alpha,1,1,Y,229,,229,,1
;,,Punct,1,1,Y,230,,230,,1
筋肉,,Alpha,1,1,Y,231,,231,,1
中高生,,Alpha,1,1,Y,232,,232,,1
工学部,,Alpha,1,1,Y,233,,233,,1
優勝,,Alpha,2,1,Y,234,,234,,1
水源,,Alpha,1,1,Y,235,,235,,1
新品種,,Alpha,1,1,Y,236,,236,,1
電車料金,,Alpha,1,1,Y,237,,237,,1
-0094,,Num,1,1,Y,238,,238,,1
地獄,,Alpha,1,1,Y,239,,239,,1
関羽,,Alpha,7,1,Y,240,,240,,1
名古屋駅,,Alpha,1,1,Y,241,,241,,1
雇用,,Alpha,2,1,Y,242,,242,,1
ハンバーグ,,Alpha,3,1,Y,243,,243,,1
道路情報,nlpNounGroup,Alpha,1,1,Y,244,,244,,1
?,,Punct,5,5,Y,245,,245,,0.5926756163
口,,Alpha,1,1,Y,246,,246,,1
学,,Alpha,7,3,Y,247,,247,,0.758126818
物,,Alpha,2,2,Y,248,,248,,0.8245749364
北原,,Alpha,1,1,Y,249,,249,,1
吉田,,Alpha,1,1,Y,250,,250,,1
運動,,Alpha,1,1,Y,251,,251,,1
でしょう,,Alpha,4,4,Y,252,,252,,0.6491498728
クーポン,,Alpha,1,1,Y,253,,253,,1
でも,,Alpha,10,8,Y,254,,254,,0.500663197
来年,,Alpha,1,1,Y,255,,255,,1
運送,,Alpha,2,1,Y,256,,256,,1
各,,Alpha,3,2,Y,257,,257,,0.8389078949
理学,,Alpha,5,1,Y,258,,258,,1
聞いた,,Alpha,1,1,Y,3853,2728,2728,.,1
ようじ,,Alpha,1,1,Y,259,,259,,1
ビッグスプーン,,Alpha,1,1,Y,260,,260,,1
安,,Alpha,1,1,Y,261,,261,,1
でて,,Alpha,1,1,Y,3854,289,289,.,1
水準,,Alpha,2,1,Y,262,,262,,1
selling,,Alpha,1,1,Y,263,,263,,1
メジャーだ,,Alpha,1,1,Y,264,,264,,1
孫,,Alpha,2,1,Y,265,,265,,1
e-mail,,Mixed,1,1,Y,266,,266,,1
ゆで,,Alpha,1,1,Y,3855,315,315,.,1
調べ,,Alpha,1,1,Y,267,,267,,1
音声,,Alpha,1,1,Y,268,,268,,1
-27,,Num,1,1,Y,269,,269,,1
知事,,Alpha,4,2,Y,270,,270,,0.8576814834
竹内,,Alpha,1,1,Y,271,,271,,1
ジビエ,,Alpha,1,1,Y,272,,272,,1
決まれば,,Alpha,1,1,Y,3856,3295,3295,.,1
ワクワクドキドキ,,Alpha,1,1,Y,273,,273,,1
狩り女子,nlpNounGroup,Alpha,1,1,Y,274,,274,,1
予想,,Alpha,2,2,Y,275,,275,,0.8245749364
土産,,Alpha,1,1,Y,276,,276,,1
続いた,,Alpha,1,1,Y,3857,1050,1050,.,1
国蝶,nlpNounGroup,Alpha,1,1,Y,277,,277,,1
募集,,Alpha,1,1,Y,278,,278,,1
書店,,Alpha,1,1,Y,279,,279,,1
自信,,Alpha,1,1,Y,280,,280,,1
討幕,,Alpha,1,1,Y,281,,281,,1
退治,,Alpha,1,1,Y,282,,282,,1
ウォン,,Alpha,1,1,Y,283,,283,,1
なくなった,,Alpha,1,1,Y,3858,1693,1693,.,1
程度,,Alpha,7,4,Y,284,,284,,0.6768019514
どうぞ,,Alpha,1,1,Y,285,,285,,1
リサーチ,,Alpha,1,1,Y,286,,286,,1
にもかかわらず,,Alpha,1,1,Y,287,,287,,1
稔,,Alpha,1,1,Y,288,,288,,1
でる,,Alpha,1,1,Y,289,,289,+,1
ゆる,,Alpha,2,1,Y,290,,290,,1
知名度注目度,nlpNounGroup,Alpha,1,1,Y,291,,291,,1
オリジナル教材,nlpNounGroup,Alpha,1,1,Y,292,,292,,1
イープレシャス　イオン,nlpNounGroup,Alpha,1,1,Y,293,,293,,1
同,,Alpha,8,3,Y,294,,294,,0.7721588149
からむ,,Alpha,1,1,Y,295,,295,+,1
だから,,Alpha,1,1,Y,296,,296,,1
ようだ,,Alpha,12,11,Y,297,,297,+,0.400345236
喜んで,,Alpha,1,1,Y,3859,2356,2356,.,1
変わる,,Alpha,3,3,Y,298,,298,+,0.7219578525
変わる,,Alpha,1,1,Y,298,298,298,.,0.7219578525
もらって,,Alpha,1,1,Y,3860,3667,3667,.,1
西賀茂坊ノ後町,,Alpha,1,1,Y,299,,299,,1
名,,Alpha,10,8,Y,300,,300,,0.4874205782
首都,,Alpha,1,1,Y,301,,301,,1
公正競争,nlpNounGroup,Alpha,1,1,Y,302,,302,,1
可,,Alpha,1,1,Y,303,,303,,1
連盟,,Alpha,2,1,Y,304,,304,,1
導入し,,Alpha,1,1,Y,3861,1333,1333,.,1
プロダクション,,Alpha,1,1,Y,305,,305,,1
台,,Alpha,6,3,Y,306,,306,,0.7804328737
満了,,Alpha,1,1,Y,307,,307,,1
異常,,Alpha,1,1,Y,308,,308,,1
通う,,Alpha,1,1,Y,309,,309,+,1
ツアー,,Alpha,1,1,Y,310,,310,,1
続いて,,Alpha,2,1,Y,3862,1050,1050,.,1
おおむね,,Alpha,1,1,Y,311,,311,,1
都,,Alpha,1,1,Y,312,,312,,1
休日,,Alpha,1,1,Y,313,,313,,1
谷口,,Alpha,1,1,Y,314,,314,,1
ゆでる,,Alpha,1,1,Y,315,,315,+,1
国立公園,,Alpha,1,1,Y,316,,316,,1
金融機関,,Alpha,1,1,Y,317,,317,,1
all,,Alpha,2,2,Y,318,,318,,0.8245749364
難しい,,Alpha,2,2,Y,319,,319,,0.8245749364
抑え目だ,,Alpha,1,1,Y,320,,320,+,1
持ち上がった,,Alpha,1,1,Y,3863,2018,2018,.,1
特異な作,nlpNounGroup,Alpha,1,1,Y,321,,321,,1
特,,Alpha,3,1,Y,322,,322,,1
少ない単位,nlpNounGroup,Alpha,2,1,Y,323,,323,,1
-1111,,Num,2,1,Y,324,,324,,1
政事,,Alpha,1,1,Y,325,,325,,1
訴訟,,Alpha,1,1,Y,326,,326,,1
集積所,,Alpha,1,1,Y,327,,327,,1
index.html,,Mixed,1,1,Y,328,,328,,1
絶品グルメ,nlpNounGroup,Alpha,1,1,Y,329,,329,,1
-285-5711 営業時間,nlpNounGroup,Alpha,1,1,Y,330,,330,,1
結び,,Alpha,1,1,Y,331,,331,,1
名義変更込み,nlpNounGroup,Alpha,1,1,Y,332,,332,,1
きた,,Alpha,2,2,Y,3864,384,384,.,0.8245749364
馬鹿,,Alpha,2,1,Y,333,,333,,1
調和した,,Alpha,1,1,Y,3865,1930,1930,.,1
号,,Alpha,2,2,Y,334,,334,,0.8245749364
city,,Alpha,1,1,Y,335,,335,,1
藩閥,,Alpha,1,1,Y,336,,336,,1
かなり,,Alpha,1,1,Y,337,,337,,1
定,,Alpha,3,1,Y,338,,338,,1
東端,,Alpha,1,1,Y,339,,339,,1
気味,,Alpha,1,1,Y,340,,340,,1
結ぶ,,Alpha,1,1,Y,341,,341,,1
ような,,Alpha,3,3,Y,3866,297,297,.,0.7219578525
午後,,Alpha,3,3,Y,342,,342,,0.7219578525
彼ら,,Alpha,1,1,Y,343,,343,,1
重傷,,Alpha,1,1,Y,344,,344,,1
ように,,Alpha,9,8,Y,3867,297,297,.,0.4828990525
底上げ,,Alpha,1,1,Y,345,,345,,1
上記住所,nlpNounGroup,Alpha,1,1,Y,346,,346,,1
風,,Alpha,4,4,Y,347,,347,,0.6491498728
収集,,Alpha,1,1,Y,348,,348,,1
継ぐ,,Alpha,1,1,Y,349,,349,+,1
1700-22,,Mixed,1,1,Y,350,,350,,1
しかし,,Alpha,2,1,Y,351,,351,,1
できた,,Alpha,3,3,Y,3868,414,414,.,0.7219578525
高価格帯,nlpNounGroup,Alpha,1,1,Y,352,,352,,1
蛇行,,Alpha,1,1,Y,353,,353,,1
自動車,,Alpha,1,1,Y,354,,354,,1
カブトムシ,,Alpha,1,1,Y,355,,355,,1
二郎,,Alpha,1,1,Y,356,,356,,1
広島,,Alpha,18,1,Y,357,,357,,1
握って,,Alpha,2,2,Y,3869,3073,3073,.,0.8245749364
実,,Alpha,1,1,Y,358,,358,,1
きて,,Alpha,3,3,Y,3870,384,384,.,0.7219578525
不平,,Alpha,1,1,Y,359,,359,,1
固形,,Alpha,1,1,Y,360,,360,,1
いった,,Alpha,5,4,Y,3871,1277,1277,.,0.6628456418
栗駒,,Alpha,1,1,Y,361,,361,,1
適用する,,Alpha,2,2,Y,362,,362,+,0.8245749364
適用する,,Alpha,1,1,Y,362,362,362,.,0.8245749364
準決勝僕,nlpNounGroup,Alpha,1,1,Y,363,,363,,1
[,,Punct,33,7,Y,364,,364,,0.6570351282
専門,,Alpha,7,2,Y,365,,365,,0.8962057652
涼しい,,Alpha,1,1,Y,366,,366,+,1
集まったり,,Alpha,1,1,Y,3872,1363,1363,.,1
アウトソーシング,,Alpha,1,1,Y,367,,367,,1
ラケット検査,nlpNounGroup,Alpha,1,1,Y,368,,368,,1
客,,Alpha,2,2,Y,369,,369,,0.8245749364
業界,,Alpha,2,1,Y,370,,370,,1
つながる,,Alpha,2,2,Y,371,,371,+,0.8245749364
つながる,,Alpha,1,1,Y,371,371,371,.,0.8245749364
のだろう,,Alpha,3,3,Y,3873,1572,1572,.,0.7219578525
],,Punct,33,7,Y,372,,372,,0.6570351282
見,,Alpha,3,3,Y,3874,3194,3194,.,0.7219578525
信用,,Alpha,1,1,Y,373,,373,,1
通し,,Alpha,1,1,Y,374,,374,,1
協力する,,Alpha,1,1,Y,375,,375,+,1
^,,Punct,2,1,Y,376,,376,,1
季節,,Alpha,6,2,Y,377,,377,,0.8859697754
対象,,Alpha,4,3,Y,378,,378,,0.7368624046
欲求,,Alpha,1,1,Y,379,,379,,1
風光明媚,nlpNounGroup,Alpha,1,1,Y,380,,380,,1
_,,Punct,3,1,Y,381,,381,,1
ｌｅｄ,,Alpha,4,1,Y,382,,382,,1
03-32,,Mixed,1,1,Y,383,,383,,1
きる,,Alpha,16,9,Y,384,,384,+,0.482001446
姉歯,,Alpha,2,1,Y,385,,385,,1
後一,,Alpha,1,1,Y,386,,386,,1
農薬,,Alpha,1,1,Y,387,,387,,1
通す,,Alpha,1,1,Y,388,,388,+,1
いって,,Alpha,1,1,Y,3875,1277,1277,.,1
合格率,,Alpha,2,1,Y,389,,389,,1
数多く,nlpNounGroup,Alpha,2,1,Y,390,,390,,1
ｌｅｄ王国,nlpNounGroup,Alpha,1,1,Y,391,,391,,1
きれ,,Alpha,1,1,Y,3876,384,384,.,1
危惧,,Alpha,1,1,Y,392,,392,,1
絶品,,Alpha,1,1,Y,393,,393,,1
帰って,,Alpha,2,2,Y,3877,770,770,.,0.8245749364
a,,Alpha,3,1,Y,394,,394,,1
種,,Alpha,2,2,Y,395,,395,,0.8245749364
価格,,Alpha,4,2,Y,396,,396,,0.8576814834
旅費,,Alpha,1,1,Y,397,,397,,1
しかも,,Alpha,2,2,Y,398,,398,,0.8245749364
日出町,,Alpha,1,1,Y,399,,399,,1
ラケット,,Alpha,1,1,Y,400,,400,,1
-150300@city.kochi.lg.jp,,Mixed,1,1,Y,401,,401,,1
信州 お天気,nlpNounGroup,Alpha,1,1,Y,402,,402,,1
ハンター養成,nlpNounGroup,Alpha,1,1,Y,403,,403,,1
b,,Alpha,1,1,Y,404,,404,,1
犬,,Alpha,1,1,Y,405,,405,,1
舎,,Alpha,1,1,Y,406,,406,,1
徳島県,,Alpha,2,1,Y,407,,407,,1
梅ノ木,,Alpha,1,1,Y,408,,408,,1
渡利字,nlpNounGroup,Alpha,1,1,Y,409,,409,,1
定例記者会見,nlpNounGroup,Alpha,1,1,Y,410,,410,,1
c,,Alpha,1,1,Y,411,,411,,1
山々,,Alpha,2,2,Y,412,,412,,0.8245749364
為替,,Alpha,1,1,Y,413,,413,,1
できる,,Alpha,20,16,Y,414,,414,+,0.3119955146
できる,,Alpha,9,9,Y,414,414,414,.,0.3119955146
ハウス,,Alpha,1,1,Y,415,,415,,1
試合目,nlpNounGroup,Alpha,1,1,Y,416,,416,,1
太陽,,Alpha,1,1,Y,417,,417,,1
昆虫採集,nlpNounGroup,Alpha,1,1,Y,418,,418,,1
03-38,,Mixed,1,1,Y,419,,419,,1
すすむ,,Alpha,2,2,Y,420,,420,+,0.8245749364
f,,Alpha,1,1,Y,421,,421,,1
稲,,Alpha,1,1,Y,422,,422,,1
桑名,,Alpha,6,1,Y,423,,423,,1
播磨屋,,Alpha,1,1,Y,424,,424,,1
涼しく,,Alpha,1,1,Y,3878,366,366,.,1
外国為替相場,nlpNounGroup,Alpha,1,1,Y,425,,425,,1
富,,Alpha,3,2,Y,426,,426,,0.8389078949
からみ,,Alpha,1,1,Y,3879,295,295,.,1
